Area Name,Total/Rural/Urban,Total Population,Male Population,Female Population,Total population attending educational institution,Male population attending educational institution,Female population attending educational institution,Total literates,Male literates,Female literates
INDIA,Total,1028610328,532156772,496453556,228763727,129501591,99262136,202316923,115873108,86443815
State - ANDHRA PRADESH  28,Total,76210007,38527413,37682594,17515658,9669530,7846128,14796657,8337498,6459159
State - ANDHRA PRADESH  28,Rural,55401067,27937204,27463863,11834066,6624355,5209711,9869438,5671454,4197984
State - ANDHRA PRADESH  28,Urban,20808940,10590209,10218731,5681592,3045175,2636417,4927219,2666044,2261175
District - Adilabad  01,Total,2488003,1250958,1237045,599866,335758,264108,503958,288474,215484
District - Adilabad  01,Rural,1827986,915067,912919,390206,222281,167925,319977,188024,131953
District - Adilabad  01,Urban,660017,335891,324126,209660,113477,96183,183981,100450,83531
District - Nizamabad  02,Total,2345685,1162905,1182780,528196,295037,233159,437846,249588,188258
District - Nizamabad  02,Rural,1920947,947773,973174,404897,229310,175587,333098,193174,139924
District - Nizamabad  02,Urban,424738,215132,209606,123299,65727,57572,104748,56414,48334
District - Karimnagar  03,Total,3491822,1747968,1743854,828160,458604,369556,709899,399972,309927
District - Karimnagar  03,Rural,2813010,1402279,1410731,616072,343768,272304,524306,298519,225787
District - Karimnagar  03,Urban,678812,345689,333123,212088,114836,97252,185593,101453,84140
District - Medak  04,Total,2670097,1352446,1317651,599941,338911,261030,495086,285711,209375
District - Medak  04,Rural,2286573,1155418,1131155,488014,279861,208153,399080,234691,164389
District - Medak  04,Urban,383524,197028,186496,111927,59050,52877,96006,51020,44986
District - Hyderabad  05,Total,3829753,1981173,1848580,1156133,612884,543249,965323,517015,448308
District - Hyderabad  05,Rural,0,0,0,0,0,0,0,0,0
District - Hyderabad  05,Urban,3829753,1981173,1848580,1156133,612884,543249,965323,517015,448308
District - Rangareddi  06,Total,3575064,1839227,1735837,924962,506866,418096,777027,431995,345032
District - Rangareddi  06,Rural,1637227,834579,802648,389870,217536,172334,321129,182884,138245
District - Rangareddi  06,Urban,1937837,1004648,933189,535092,289330,245762,455898,249111,206787
District - Mahbubnagar  07,Total,3513934,1782340,1731594,714308,422774,291534,578407,352711,225696
District - Mahbubnagar  07,Rural,3142579,1592325,1550254,597845,359559,238286,477904,297580,180324
District - Mahbubnagar  07,Urban,371355,190015,181340,116463,63215,53248,100503,55131,45372
District - Nalgonda  08,Total,3247982,1651990,1595992,801508,454678,346830,671904,391443,280461
District - Nalgonda  08,Rural,2815304,1429458,1385846,659662,376576,283086,547318,321935,225383
District - Nalgonda  08,Urban,432678,222532,210146,141846,78102,63744,124586,69508,55078
District - Warangal  09,Total,3246004,1644895,1601109,828493,465541,362952,696601,400029,296572
District - Warangal  09,Rural,2622792,1328589,1294203,630149,357588,272561,520763,303327,217436
District - Warangal  09,Urban,623212,316306,306906,198344,107953,90391,175838,96702,79136
District - Khammam  10,Total,2578927,1305543,1273384,596705,330915,265790,506849,287399,219450
District - Khammam  10,Rural,2068066,1047248,1020818,448157,251046,197111,376504,216612,159892
District - Khammam  10,Urban,510861,258295,252566,148548,79869,68679,130345,70787,59558
District - Srikakulam  11,Total,2537593,1260020,1277573,573638,316545,257093,479539,273760,205779
District - Srikakulam  11,Rural,2258934,1121420,1137514,504420,278674,225746,417661,239579,178082
District - Srikakulam  11,Urban,278659,138600,140059,69218,37871,31347,61878,34181,27697
District - Vizianagaram  12,Total,2249254,1119541,1129713,463349,255927,207422,385800,220060,165740
District - Vizianagaram  12,Rural,1836859,914907,921952,361318,201536,159782,297204,172252,124952
District - Vizianagaram  12,Urban,412395,204634,207761,102031,54391,47640,88596,47808,40788
District - Visakhapatnam  13,Total,3832336,1930197,1902139,869362,485128,384234,742763,423012,319751
District - Visakhapatnam  13,Rural,2301437,1149912,1151525,465946,265384,200562,388716,228207,160509
District - Visakhapatnam  13,Urban,1530899,780285,750614,403416,219744,183672,354047,194805,159242
District - East Godavari  14,Total,4901420,2459640,2441780,1050416,551075,499341,912350,484632,427718
District - East Godavari  14,Rural,3749535,1885119,1864416,782842,410547,372295,670607,356969,313638
District - East Godavari  14,Urban,1151885,574521,577364,267574,140528,127046,241743,127663,114080
District - West Godavari  15,Total,3803517,1910038,1893479,854868,447779,407089,731071,388146,342925
District - West Godavari  15,Rural,3052630,1537700,1514930,673613,353953,319660,569217,303799,265418
District - West Godavari  15,Urban,750887,372338,378549,181255,93826,87429,161854,84347,77507
District - Krishna  16,Total,4187841,2117401,2070440,957824,508810,449014,831029,448239,382790
District - Krishna  16,Rural,2844394,1439115,1405279,619883,330747,289136,532902,290069,242833
District - Krishna  16,Urban,1343447,678286,665161,337941,178063,159878,298127,158170,139957
District - Guntur  17,Total,4465144,2250279,2214865,953132,523257,429875,819495,457888,361607
District - Guntur  17,Rural,3179384,1604767,1574617,639669,356649,283020,546443,311577,234866
District - Guntur  17,Urban,1285760,645512,640248,313463,166608,146855,273052,146311,126741
District - Prakasam  18,Total,3059423,1552332,1507091,647595,372884,274711,562295,330516,231779
District - Prakasam  18,Rural,2592055,1316473,1275582,530122,308467,221655,457728,272564,185164
District - Prakasam  18,Urban,467368,235859,231509,117473,64417,53056,104567,57952,46615
District - Nellore  19,Total,2668564,1344935,1323629,605673,324516,281157,507242,280112,227130
District - Nellore  19,Rural,2069521,1043308,1026213,459532,246919,212613,377633,210700,166933
District - Nellore  19,Urban,599043,301627,297416,146141,77597,68544,129609,69412,60197
District - Cuddapah  20,Total,2601797,1318093,1283704,596461,330715,265746,498379,285025,213354
District - Cuddapah  20,Rural,2014044,1021177,992867,449704,251800,197904,369942,215158,154784
District - Cuddapah  20,Urban,587753,296916,290837,146757,78915,67842,128437,69867,58570
District - Kurnool  21,Total,3529494,1796214,1733280,758611,438788,319823,621763,371165,250598
District - Kurnool  21,Rural,2712030,1380605,1331425,551735,326325,225410,442413,272655,169758
District - Kurnool  21,Urban,817464,415609,401855,206876,112463,94413,179350,98510,80840
District - Anantapur  22,Total,3640478,1859588,1780890,791476,443762,347714,665154,380905,284249
District - Anantapur  22,Rural,2720915,1391905,1329010,563133,320288,242845,466216,272435,193781
District - Anantapur  22,Urban,919563,467683,451880,228343,123474,104869,198938,108470,90468
District - Chittoor  23,Total,3745875,1889690,1856185,814981,448376,366605,696877,389701,307176
District - Chittoor  23,Rural,2934845,1478060,1456785,607277,335541,271736,512677,288744,223933
District - Chittoor  23,Urban,811030,411630,399400,207704,112835,94869,184200,100957,83243
State - BIHAR  10,Total,82998509,43243795,39754714,13728783,8569438,5159345,12301498,7790512,4510986
State - BIHAR  10,Rural,74316709,38594996,35721713,11393075,7218932,4174143,10166540,6545335,3621205
State - BIHAR  10,Urban,8681800,4648799,4033001,2335708,1350506,985202,2134958,1245177,889781
District - Pashchim Champaran  01,Total,3043466,1600839,1442627,396232,256090,140142,345807,227405,118402
District - Pashchim Champaran  01,Rural,2733907,1436653,1297254,325217,215326,109891,282990,190900,92090
District - Pashchim Champaran  01,Urban,309559,164186,145373,71015,40764,30251,62817,36505,26312
District - Purba Champaran  02,Total,3939773,2077047,1862726,510904,333485,177419,445607,296026,149581
District - Purba Champaran  02,Rural,3688687,1941681,1747006,451118,298331,152787,391591,263986,127605
District - Purba Champaran  02,Urban,251086,135366,115720,59786,35154,24632,54016,32040,21976
District - Sheohar *  03,Total,515961,273680,242281,60754,38981,21773,54116,35234,18882
District - Sheohar *  03,Rural,494699,262363,232336,57738,37124,20614,51372,33536,17836
District - Sheohar *  03,Urban,21262,11317,9945,3016,1857,1159,2744,1698,1046
District - Sitamarhi  04,Total,2682720,1417611,1265109,351213,223730,127483,320089,206491,113598
District - Sitamarhi  04,Rural,2529407,1335214,1194193,315716,203002,112714,287128,187102,100026
District - Sitamarhi  04,Urban,153313,82397,70916,35497,20728,14769,32961,19389,13572
District - Madhubani  05,Total,3575281,1840997,1734284,523714,343068,180646,473888,315040,158848
District - Madhubani  05,Rural,3450736,1775203,1675533,495202,325899,169303,447331,298918,148413
District - Madhubani  05,Urban,124545,65794,58751,28512,17169,11343,26557,16122,10435
District - Supaul *  06,Total,1732578,902207,830371,202334,140760,61574,181200,128024,53176
District - Supaul *  06,Rural,1644370,855183,789187,183144,128933,54211,163464,116977,46487
District - Supaul *  06,Urban,88208,47024,41184,19190,11827,7363,17736,11047,6689
District - Araria  07,Total,2158608,1128105,1030503,240394,155048,85346,210314,138505,71809
District - Araria  07,Rural,2026257,1057202,969055,212837,138945,73892,184987,123549,61438
District - Araria  07,Urban,132351,70903,61448,27557,16103,11454,25327,14956,10371
District - Kishanganj  08,Total,1296348,669552,626796,125343,79349,45994,110134,70763,39371
District - Kishanganj  08,Rural,1167340,600300,567040,99080,63408,35672,86086,56023,30063
District - Kishanganj  08,Urban,129008,69252,59756,26263,15941,10322,24048,14740,9308
District - Purnia  09,Total,2543942,1328417,1215525,304705,195480,109225,268814,175552,93262
District - Purnia  09,Rural,2321544,1208292,1113252,246376,160919,85457,215137,143411,71726
District - Purnia  09,Urban,222398,120125,102273,58329,34561,23768,53677,32141,21536
District - Katihar  10,Total,2392638,1246872,1145766,277968,173543,104425,247729,157095,90634
District - Katihar  10,Rural,2174361,1130114,1044247,222599,142033,80566,195922,127389,68533
District - Katihar  10,Urban,218277,116758,101519,55369,31510,23859,51807,29706,22101
District - Madhepura  11,Total,1526646,797180,729466,175458,119467,55991,157098,108668,48430
District - Madhepura  11,Rural,1458679,760198,698481,158994,109430,49564,141983,99358,42625
District - Madhepura  11,Urban,67967,36982,30985,16464,10037,6427,15115,9310,5805
District - Saharsa  12,Total,1508182,789432,718750,195358,131596,63762,175578,119786,55792
District - Saharsa  12,Rural,1383015,721714,661301,161666,110812,50854,144314,100352,43962
District - Saharsa  12,Urban,125167,67718,57449,33692,20784,12908,31264,19434,11830
District - Darbhanga  13,Total,3295789,1722189,1573600,506265,322678,183587,456890,295138,161752
District - Darbhanga  13,Rural,3028441,1579812,1448629,431486,279596,151890,387441,254782,132659
District - Darbhanga  13,Urban,267348,142377,124971,74779,43082,31697,69449,40356,29093
District - Muzaffarpur  14,Total,3746714,1951466,1795248,634515,385828,248687,568263,349498,218765
District - Muzaffarpur  14,Rural,3398361,1764648,1633713,535120,329408,205712,477299,297566,179733
District - Muzaffarpur  14,Urban,348353,186818,161535,99395,56420,42975,90964,51932,39032
District - Gopalganj  15,Total,2152638,1075710,1076928,412094,251807,160287,361537,224821,136716
District - Gopalganj  15,Rural,2022048,1007970,1014078,380150,233414,146736,333336,208430,124906
District - Gopalganj  15,Urban,130590,67740,62850,31944,18393,13551,28201,16391,11810
District - Siwan  16,Total,2714349,1336283,1378066,549797,328887,220910,488338,296025,192313
District - Siwan  16,Rural,2564860,1257556,1307304,509463,306132,203331,451762,275246,176516
District - Siwan  16,Urban,149489,78727,70762,40334,22755,17579,36576,20779,15797
District - Saran  17,Total,3248701,1652661,1596040,620870,384572,236298,557446,350150,207296
District - Saran  17,Rural,2950064,1494636,1455428,546589,341326,205263,489634,310323,179311
District - Saran  17,Urban,298637,158025,140612,74281,43246,31035,67812,39827,27985
District - Vaishali  18,Total,2718421,1415603,1302818,499347,306317,193030,454854,282726,172128
District - Vaishali  18,Rural,2531766,1316796,1214970,453767,279823,173944,413105,258204,154901
District - Vaishali  18,Urban,186655,98807,87848,45580,26494,19086,41749,24522,17227
District - Samastipur  19,Total,3394793,1760692,1634101,535204,333824,201380,479700,303359,176341
District - Samastipur  19,Rural,3271338,1694987,1576351,500562,313784,186778,447611,284679,162932
District - Samastipur  19,Urban,123455,65705,57750,34642,20040,14602,32089,18680,13409
District - Begusarai  20,Total,2349366,1228874,1120492,398856,243270,155586,357966,221364,136602
District - Begusarai  20,Rural,2241743,1171333,1070410,367495,225356,142139,329115,204769,124346
District - Begusarai  20,Urban,107623,57541,50082,31361,17914,13447,28851,16595,12256
District - Khagaria  21,Total,1280354,679267,601087,184939,117034,67905,164609,105996,58613
District - Khagaria  21,Rural,1204027,637823,566204,165896,105874,60022,146893,95549,51344
District - Khagaria  21,Urban,76327,41444,34883,19043,11160,7883,17716,10447,7269
District - Bhagalpur  22,Total,2423172,1291658,1131514,430815,265672,165143,388254,243053,145201
District - Bhagalpur  22,Rural,1970745,1049140,921605,312112,197574,114538,279470,180048,99422
District - Bhagalpur  22,Urban,452427,242518,209909,118703,68098,50605,108784,63005,45779
District - Banka *  23,Total,1608773,843293,765480,229184,147917,81267,206396,135261,71135
District - Banka *  23,Rural,1552353,813088,739265,217557,141137,76420,195760,129011,66749
District - Banka *  23,Urban,56420,30205,26215,11627,6780,4847,10636,6250,4386
District - Munger  24,Total,1137797,607730,530067,245067,147640,97427,221105,135079,86026
District - Munger  24,Rural,819950,437364,382586,154084,95975,58109,138402,87706,50696
District - Munger  24,Urban,317847,170366,147481,90983,51665,39318,82703,47373,35330
District - Lakhisarai *  25,Total,802225,417672,384553,132719,83060,49659,118512,75134,43378
District - Lakhisarai *  25,Rural,684485,355141,329344,107447,68089,39358,95855,61558,34297
District - Lakhisarai *  25,Urban,117740,62531,55209,25272,14971,10301,22657,13576,9081
District - Sheikhpura *  26,Rural,444189,230820,213369,66845,43384,23461,61363,40369,20994
District - Sheikhpura *  26,Urban,81313,43172,38141,19482,11621,7861,17903,10769,7134
District - Nalanda  27,Total,2370528,1238599,1131929,438518,270166,168352,395188,246606,148582
District - Nalanda  27,Rural,2016899,1052091,964808,347901,218468,129433,312694,199072,113622
District - Nalanda  27,Urban,353629,186508,167121,90617,51698,38919,82494,47534,34960
District - Patna  28,Total,4718592,2519942,2198650,1083181,646519,436662,980884,591877,389007
District - Patna  28,Rural,2757060,1456408,1300652,492290,305171,187119,440235,277108,163127
District - Patna  28,Urban,1961532,1063534,897998,590891,341348,249543,540649,314769,225880
District - Bhojpur  29,Total,2243144,1179611,1063533,479623,301416,178207,432683,275960,156723
District - Bhojpur  29,Rural,1930730,1010076,920654,395297,252226,143071,354406,229997,124409
District - Bhojpur  29,Urban,312414,169535,142879,84326,49190,35136,78277,45963,32314
District - Buxar *  30,Total,1402396,738354,664042,285461,182381,103080,258719,167837,90882
District - Buxar *  30,Rural,1273422,669408,604014,250491,162045,88446,226908,149150,77758
District - Buxar *  30,Urban,128974,68946,60028,34970,20336,14634,31811,18687,13124
District - Kaimur (Bhabua) *  31,Total,1289074,677623,611451,250295,158107,92188,227848,146174,81674
District - Kaimur (Bhabua) *  31,Rural,1247299,654826,592473,237671,150611,87060,216157,139182,76975
District - Kaimur (Bhabua) *  31,Urban,41775,22797,18978,12624,7496,5128,11691,6992,4699
District - Rohtas  32,Total,2450748,1283485,1167263,545973,329252,216721,488745,299114,189631
District - Rohtas  32,Rural,2123942,1110083,1013859,453815,277099,176716,405712,251702,154010
District - Rohtas  32,Urban,326806,173402,153404,92158,52153,40005,83033,47412,35621
District - Jehanabad  33,Total,1514315,784946,729369,295170,180692,114478,262988,163275,99713
District - Jehanabad  33,Urban,111612,59387,52225,29977,17514,12463,27170,16086,11084
District - Aurangabad  34,Total,2013055,1040945,972110,404861,243526,161335,361314,220677,140637
District - Aurangabad  34,Rural,1842998,951399,891599,357717,216882,140835,318457,196216,122241
District - Aurangabad  34,Urban,170057,89546,80511,47144,26644,20500,42857,24461,18396
District - Gaya  35,Total,3473428,1792163,1681265,630451,382811,247640,562022,346880,215142
District - Gaya  35,Rural,2997479,1538787,1458692,492079,304013,188066,436661,274831,161830
District - Gaya  35,Urban,475949,253376,222573,138372,78798,59574,125361,72049,53312
District - Nawada  36,Total,1809696,929960,879736,286716,179860,106856,260491,165838,94653
District - Nawada  36,Rural,1671253,857016,814237,249761,158534,91227,226786,146196,80590
District - Nawada  36,Urban,138443,72944,65499,36955,21326,15629,33705,19642,14063
District - Jamui *  37,Total,1398796,729138,669658,198158,130600,67558,177106,118943,58163
District - Jamui *  37,Rural,1295552,674112,621440,172600,115671,56929,153355,104951,48404
District - Jamui *  37,Urban,103244,55026,48218,25558,14929,10629,23751,13992,9759
State - DAMAN & DIU  25,Total,158204,92512,65692,30511,16752,13759,26603,14716,11887
State - DAMAN & DIU  25,Rural,100856,63606,37250,17491,9632,7859,15264,8462,6802
State - DAMAN & DIU  25,Urban,57348,28906,28442,13020,7120,5900,11339,6254,5085
District - Diu  01,Total,44215,20878,23337,11496,6300,5196,10025,5530,4495
District - Diu  01,Rural,22637,10949,11688,6164,3406,2758,5368,2986,2382
District - Diu  01,Urban,21578,9929,11649,5332,2894,2438,4657,2544,2113
District - Daman  02,Total,113989,71634,42355,19015,10452,8563,16578,9186,7392
District - Daman  02,Rural,78219,52657,25562,11327,6226,5101,9896,5476,4420
District - Daman  02,Urban,35770,18977,16793,7688,4226,3462,6682,3710,2972
State - GOA  30,Total,1347668,687248,660420,293522,154699,138823,262750,139253,123497
State - GOA  30,Rural,677091,340545,336546,142056,74489,67567,127381,67202,60179
State - GOA  30,Urban,670577,346703,323874,151466,80210,71256,135369,72051,63318
District - North Goa  01,Total,758573,388502,370071,162963,86432,76531,146735,78251,68484
District - North Goa  01,Rural,416824,211543,205281,86417,45602,40815,78047,41417,36630
District - North Goa  01,Urban,341749,176959,164790,76546,40830,35716,68688,36834,31854
District - South Goa  02,Total,589095,298746,290349,130559,68267,62292,116015,61002,55013
District - South Goa  02,Rural,260267,129002,131265,55639,28887,26752,49334,25785,23549
District - South Goa  02,Urban,328828,169744,159084,74920,39380,35540,66681,35217,31464
State - KARNATAKA  29,Total,52850562,26898918,25951644,11314196,6199480,5114716,10353434,5718548,4634886
State - KARNATAKA  29,Rural,34889033,17648958,17240075,6965018,3885153,3079865,6371956,3588464,2783492
State - KARNATAKA  29,Urban,17961529,9249960,8711569,4349178,2314327,2034851,3981478,2130084,1851394
District - Belgaum  01,Total,4214505,2150090,2064415,894870,502072,392798,829253,468907,360346
District - Belgaum  01,Rural,3201814,1630756,1571058,646850,368123,278727,599100,344131,254969
District - Belgaum  01,Urban,1012691,519334,493357,248020,133949,114071,230153,124776,105377
District - Bagalkot *  02,Total,1651892,834247,817645,343503,196036,147467,316312,182651,133661
District - Bagalkot *  02,Rural,1173372,591400,581972,225308,131594,93714,205537,121784,83753
District - Bagalkot *  02,Urban,478520,242847,235673,118195,64442,53753,110775,60867,49908
District - Bijapur  03,Total,1806918,926424,880494,391025,229427,161598,366180,217076,149104
District - Bijapur  03,Rural,1410829,723276,687553,285295,170808,114487,266698,161587,105111
District - Bijapur  03,Urban,396089,203148,192941,105730,58619,47111,99482,55489,43993
District - Gulbarga  04,Total,3130922,1592789,1538133,642010,370506,271504,573432,335107,238325
District - Gulbarga  04,Rural,2278301,1152343,1125958,402463,239001,163462,358526,216218,142308
District - Gulbarga  04,Urban,852621,440446,412175,239547,131505,108042,214906,118889,96017
District - Bidar  05,Total,1502373,771022,731351,383711,215519,168192,348531,197879,150652
District - Bidar  05,Rural,1157498,591653,565845,278771,158338,120433,254258,146169,108089
District - Bidar  05,Urban,344875,179369,165506,104940,57181,47759,94273,51710,42563
District - Raichur  06,Total,1669762,841840,827922,305581,181274,124307,277955,166999,110956
District - Raichur  06,Rural,1248925,626859,622066,200333,122988,77345,181414,113143,68271
District - Raichur  06,Urban,420837,214981,205856,105248,58286,46962,96541,53856,42685
District - Koppal *  07,Total,1196089,603312,592777,232117,134880,97237,211047,124207,86840
District - Koppal *  07,Rural,997797,502732,495065,184928,109093,75835,167222,100131,67091
District - Koppal *  07,Urban,198292,100580,97712,47189,25787,21402,43825,24076,19749
District - Gadag *  08,Total,971835,493533,478302,209247,117035,92212,196444,110766,85678
District - Gadag *  08,Rural,629652,319629,310023,127467,71856,55611,119342,67931,51411
District - Gadag *  08,Urban,342183,173904,168279,81780,45179,36601,77102,42835,34267
District - Dharwad  09,Total,1604253,823204,781049,361211,196774,164437,335788,184211,151577
District - Dharwad  09,Rural,722336,371275,351061,140361,77813,62548,128980,72112,56868
District - Dharwad  09,Urban,881917,451929,429988,220850,118961,101889,206808,112099,94709
District - Uttara Kannada  10,Total,1353644,686876,666768,289328,155115,134213,265819,143261,122558
District - Uttara Kannada  10,Rural,965731,489908,475823,195412,105910,89502,178558,97394,81164
District - Uttara Kannada  10,Urban,387913,196968,190945,93916,49205,44711,87261,45867,41394
District - Haveri *  11,Total,1439116,740469,698647,304082,166452,137630,283490,156334,127156
District - Haveri *  11,Rural,1140096,586935,553161,232496,128378,104118,216271,120360,95911
District - Haveri *  11,Urban,299020,153534,145486,71586,38074,33512,67219,35974,31245
District - Bellary  12,Total,2027140,1029714,997426,412025,236888,175137,375868,218440,157428
District - Bellary  12,Rural,1320290,668534,651756,245018,144554,100464,222140,132817,89323
District - Bellary  12,Urban,706850,361180,345670,167007,92334,74673,153728,85623,68105
District - Chitradurga  13,Total,1517896,776221,741675,332345,183650,148695,306213,170740,135473
District - Chitradurga  13,Rural,1243658,635442,608216,261427,145746,115681,240072,135215,104857
District - Chitradurga  13,Urban,274238,140779,133459,70918,37904,33014,66141,35525,30616
District - Davanagere*  14,Total,1790952,917705,873247,395202,215556,179646,363873,199960,163913
District - Davanagere*  14,Rural,1247954,637670,610284,257871,141813,116058,235524,130682,104842
District - Davanagere*  14,Urban,542998,280035,262963,137331,73743,63588,128349,69278,59071
District - Shimoga  15,Total,1642545,830559,811986,351350,183554,167796,325310,170580,154730
District - Shimoga  15,Rural,1071535,540238,531297,213633,112987,100646,196230,104359,91871
District - Shimoga  15,Urban,571010,290321,280689,137717,70567,67150,129080,66221,62859
District - Udupi *  16,Total,1112243,522231,590012,254734,131160,123574,239565,123545,116020
District - Udupi *  16,Rural,905890,421056,484834,205017,106004,99013,192777,99883,92894
District - Udupi *  16,Urban,206353,101175,105178,49717,25156,24561,46788,23662,23126
District - Chikmagalur  17,Total,1140905,574911,565994,230902,121413,109489,212758,112396,100362
District - Chikmagalur  17,Rural,918181,461286,456895,176235,93344,82891,161999,86266,75733
District - Chikmagalur  17,Urban,222724,113625,109099,54667,28069,26598,50759,26130,24629
District - Tumkur  18,Total,2584711,1313801,1270910,552465,299472,252993,507451,277233,230218
District - Tumkur  18,Rural,2077509,1052113,1025396,425760,231329,194431,391132,214211,176921
District - Tumkur  18,Urban,507202,261688,245514,126705,68143,58562,116319,63022,53297
District - Kolar  19,Total,2536069,1286193,1249876,558740,304879,253861,504476,278083,226393
District - Kolar  19,Rural,1910546,968253,942293,402231,222894,179337,362121,203084,159037
District - Kolar  19,Urban,625523,317940,307583,156509,81985,74524,142355,74999,67356
District - Bangalore  20,Total,6537124,3426599,3110525,1467790,775634,692156,1310042,696797,613245
District - Bangalore  20,Rural,777137,406201,370936,164134,87613,76521,146779,79285,67494
District - Bangalore  20,Urban,5759987,3020398,2739589,1303656,688021,615635,1163263,617512,545751
District - Bangalore Rural  21,Total,1881514,962183,919331,405630,218958,186672,372829,202627,170202
District - Bangalore Rural  21,Rural,1474118,752077,722041,312893,170456,142437,287417,157784,129633
District - Bangalore Rural  21,Urban,407396,210106,197290,92737,48502,44235,85412,44843,40569
District - Mandya  22,Total,1763705,888034,875671,367800,195819,171981,335474,179770,155704
District - Mandya  22,Rural,1480990,744276,736714,299427,160161,139266,272382,146715,125667
District - Mandya  22,Urban,282715,143758,138957,68373,35658,32715,63092,33055,30037
District - Hassan  23,Total,1721669,859086,862583,363466,191456,172010,335884,177736,158148
District - Hassan  23,Rural,1416996,703957,713039,284569,150678,133891,261836,139360,122476
District - Hassan  23,Urban,304673,155129,149544,78897,40778,38119,74048,38376,35672
District - Dakshina Kannada  24,Total,1897730,938434,959296,421760,220496,201264,390585,204700,185885
District - Dakshina Kannada  24,Rural,1168428,574657,593771,247951,131535,116416,229958,122356,107602
District - Dakshina Kannada  24,Urban,729302,363777,365525,173809,88961,84848,160627,82344,78283
District - Kodagu  25,Total,548561,274831,273730,110299,57022,53277,101046,52394,48652
District - Kodagu  25,Rural,473179,236270,236909,92094,47908,44186,84202,43941,40261
District - Kodagu  25,Urban,75382,38561,36821,18205,9114,9091,16844,8453,8391
District - Mysore  26,Total,2641027,1344670,1296357,557115,301958,255157,508710,277965,230745
District - Mysore  26,Rural,1658899,845379,813520,314901,175755,139146,283682,160188,123494
District - Mysore  26,Urban,982128,499291,482837,242214,126203,116011,225028,117777,107251
District - Chamarajanagar*  27,Total,965462,489940,475522,175888,96475,79413,159099,88184,70915
District - Chamarajanagar*  27,Rural,817372,414783,402589,142173,78474,63699,127799,71358,56441
District - Chamarajanagar*  27,Urban,148090,75157,72933,33715,18001,15714,31300,16826,14474
State - LAKSHADWEEP  31,Total,60650,31131,29519,17066,9252,7814,14311,7829,6482
State - LAKSHADWEEP  31,Rural,33683,17191,16492,9531,5097,4434,7950,4284,3666
State - LAKSHADWEEP  31,Urban,26967,13940,13027,7535,4155,3380,6361,3545,2816
District - Lakshadweep  01,Total,60650,31131,29519,17066,9252,7814,14311,7829,6482
District - Lakshadweep  01,Rural,33683,17191,16492,9531,5097,4434,7950,4284,3666
District - Lakshadweep  01,Urban,26967,13940,13027,7535,4155,3380,6361,3545,2816
State - MANIPUR  14,Total,2166788,1095634,1071154,714762,378264,336498,594694,317520,277174
State - MANIPUR  14,Rural,1590820,808953,781867,510074,272704,237370,419463,226748,192715
State - MANIPUR  14,Urban,575968,286681,289287,204688,105560,99128,175231,90772,84459
District - Senapati  01,Total,156513,80230,76283,46918,25212,21706,39707,21533,18174
District - Senapati  01,Rural,156513,80230,76283,46918,25212,21706,39707,21533,18174
District - Senapati  01,Urban,0,0,0,0,0,0,0,0,0
District - Tamenglong  02,Total,111499,58014,53485,35171,19339,15832,27278,15268,12010
